"","fish_id","bin","LLLL","LLLR","LLRL","LLRR","LRLL","LRLR","LRRL","LRRR","RLLL","RLLR","RLRL","RLRR","RRLL","RRLR","RRRL","RRRR","L","R","total_turns","reps","alts","rel_reps","rel_alts","rel_R","rel_L"
"1","1","1",60,17,18,4,17,4,4,1,17,5,3,1,5,0,1,1,128,33,161,61,7,37.888198757764,4.34782608695652,20.4968944099379,79.5031055900621
"2","1","2",40,13,13,3,12,3,7,0,12,3,2,4,4,3,0,0,93,29,122,40,5,32.7868852459016,4.0983606557377,23.7704918032787,76.2295081967213
"3","1","3",3,7,11,1,11,18,5,0,7,4,19,4,0,5,0,0,58,40,98,3,37,3.06122448979592,37.7551020408163,40.8163265306122,59.1836734693878
"4","1","4",3,8,9,1,9,18,4,0,8,3,18,3,2,3,0,0,54,38,92,3,36,3.26086956521739,39.1304347826087,41.304347826087,58.695652173913
"5","1","5",0,4,9,0,9,27,1,1,4,5,27,2,0,2,1,0,53,42,95,0,54,0,56.8421052631579,44.2105263157895,55.7894736842105
"6","1","6",5,10,15,1,15,21,2,0,10,6,20,1,2,0,0,0,71,40,111,5,41,4.5045045045045,36.9369369369369,36.036036036036,63.963963963964
"7","10","1",13,7,13,9,10,9,10,9,7,14,6,10,11,7,9,8,81,74,155,21,15,13.5483870967742,9.67741935483871,47.741935483871,52.258064516129
"8","10","2",19,12,16,5,14,13,6,2,12,9,11,3,7,1,2,0,89,46,135,19,24,14.0740740740741,17.7777777777778,34.0740740740741,65.9259259259259
"9","10","3",2,2,7,4,8,52,4,5,2,10,53,5,4,5,5,5,86,90,176,7,105,3.97727272727273,59.6590909090909,51.1363636363636,48.8636363636364
"10","10","4",22,9,14,4,13,32,6,0,8,9,32,2,4,2,0,0,102,58,160,22,64,13.75,40,36.25,63.75
"11","10","5",27,17,18,4,17,5,5,3,17,5,4,4,5,3,3,1,99,42,141,28,9,19.8581560283688,6.38297872340426,29.7872340425532,70.2127659574468
"12","10","6",23,8,10,5,10,7,8,3,7,7,7,6,5,6,3,1,76,43,119,24,14,20.1680672268908,11.7647058823529,36.1344537815126,63.8655462184874
"13","11","1",10,6,9,8,10,41,9,5,5,11,42,6,7,7,5,6,100,90,190,16,83,8.42105263157895,43.6842105263158,47.3684210526316,52.6315789473684
"14","11","2",2,7,10,6,11,22,4,6,7,9,23,4,5,4,5,10,68,70,138,12,45,8.69565217391304,32.6086956521739,50.7246376811594,49.2753623188406
"15","11","3",3,3,6,6,6,7,6,5,3,9,7,5,5,5,4,11,42,52,94,14,14,14.8936170212766,14.8936170212766,55.3191489361702,44.6808510638298
"16","11","4",1,3,2,5,3,3,4,6,3,4,4,6,3,7,6,12,28,47,75,13,7,17.3333333333333,9.33333333333333,62.6666666666667,37.3333333333333
"17","11","5",0,1,2,2,1,6,4,6,1,3,5,8,3,7,7,7,23,43,66,7,11,10.6060606060606,16.6666666666667,65.1515151515152,34.8484848484849
"18","11","6",3,3,3,1,1,4,1,5,3,2,2,5,4,3,6,6,23,32,55,9,6,16.3636363636364,10.9090909090909,58.1818181818182,41.8181818181818
"19","12","1",0,1,0,4,2,27,6,11,1,3,29,12,2,14,10,19,51,93,144,19,56,13.1944444444444,38.8888888888889,64.5833333333333,35.4166666666667
"20","12","2",1,1,2,1,1,29,4,5,1,2,28,8,2,7,5,14,45,69,114,15,57,13.1578947368421,50,60.5263157894737,39.4736842105263
"21","12","3",0,1,2,5,2,9,5,10,1,6,9,9,5,9,10,19,35,70,105,19,18,18.0952380952381,17.1428571428571,66.6666666666667,33.3333333333333
"22","12","4",0,3,0,3,1,4,3,12,3,0,4,12,2,12,11,19,26,66,92,19,8,20.6521739130435,8.69565217391304,71.7391304347826,28.2608695652174
"23","12","5",0,2,1,2,2,3,3,11,2,2,3,12,2,12,11,14,26,59,85,14,6,16.4705882352941,7.05882352941176,69.4117647058823,30.5882352941176
"24","12","6",1,1,5,2,1,22,9,5,1,6,19,12,6,9,6,6,48,66,114,7,41,6.14035087719298,35.9649122807018,57.8947368421053,42.1052631578947
"25","13","1",22,11,12,10,12,15,12,8,11,11,15,10,9,10,7,8,102,84,186,30,30,16.1290322580645,16.1290322580645,45.1612903225806,54.8387096774194
"26","13","2",42,14,16,4,17,7,7,0,15,6,8,3,4,4,0,0,110,40,150,42,15,28,10,26.6666666666667,73.3333333333333
"27","13","3",54,14,17,3,18,8,3,0,14,6,9,0,2,1,0,0,119,33,152,54,17,35.5263157894737,11.1842105263158,21.7105263157895,78.2894736842105
"28","13","4",58,7,11,3,10,5,4,1,8,7,4,2,5,1,1,0,102,28,130,58,9,44.6153846153846,6.92307692307692,21.5384615384615,78.4615384615385
"29","13","5",56,12,13,1,12,6,2,0,11,2,6,1,1,1,0,0,104,23,127,56,12,44.0944881889764,9.44881889763779,18.1102362204724,81.8897637795276
"30","13","6",56,11,16,0,15,5,3,0,11,5,4,3,1,2,0,0,109,26,135,56,9,41.4814814814815,6.66666666666667,19.2592592592593,80.7407407407407
"31","14","1",0,0,0,2,1,7,2,13,0,2,8,13,1,14,13,111,25,165,190,111,15,58.4210526315789,7.89473684210526,86.8421052631579,13.1578947368421
"32","14","2",3,4,3,8,4,3,7,14,4,6,4,13,6,15,14,40,47,104,151,43,7,28.476821192053,4.63576158940397,68.8741721854305,31.1258278145695
"33","14","3",4,6,5,7,3,3,3,11,5,7,1,7,9,5,11,24,44,70,114,28,4,24.5614035087719,3.50877192982456,61.4035087719298,38.5964912280702
"34","14","4",2,4,2,4,2,5,2,9,5,1,5,7,4,7,9,41,33,79,112,43,10,38.3928571428571,8.92857142857143,70.5357142857143,29.4642857142857
"35","14","5",0,1,3,1,1,4,1,10,1,3,2,10,3,8,10,41,21,81,102,41,6,40.1960784313725,5.88235294117647,79.4117647058823,20.5882352941176
"36","14","6",0,0,0,2,0,0,0,7,0,2,0,5,2,5,6,57,9,80,89,57,0,64.0449438202247,0,89.8876404494382,10.1123595505618
"37","15","1",20,8,4,8,3,3,8,5,7,4,2,5,8,4,4,14,59,51,110,34,5,30.9090909090909,4.54545454545455,46.3636363636364,53.6363636363636
"38","15","2",10,5,3,3,3,0,3,3,5,0,1,3,2,4,3,2,32,21,53,12,1,22.6415094339623,1.88679245283019,39.622641509434,60.377358490566
"39","15","3",5,4,6,6,7,2,2,8,5,8,3,4,5,5,8,3,43,41,84,8,5,9.52380952380952,5.95238095238095,48.8095238095238,51.1904761904762
"40","15","4",2,4,4,2,3,3,2,2,4,2,3,2,2,2,2,0,24,18,42,2,6,4.76190476190476,14.2857142857143,42.8571428571429,57.1428571428571
"41","15","5",3,3,3,1,3,2,0,1,3,1,2,0,1,0,1,0,18,9,27,3,4,11.1111111111111,14.8148148148148,33.3333333333333,66.6666666666667
"42","15","6",0,3,3,0,2,4,1,0,2,0,4,1,0,1,0,0,15,9,24,0,8,0,33.3333333333333,37.5,62.5
"43","16","1",1,3,3,8,4,12,12,15,3,8,12,19,7,19,15,30,59,115,174,31,24,17.816091954023,13.7931034482759,66.0919540229885,33.9080459770115
"44","16","2",1,3,4,8,8,19,8,11,3,9,23,11,4,14,11,13,63,90,153,14,42,9.15032679738562,27.4509803921569,58.8235294117647,41.1764705882353
"45","16","3",5,3,7,4,10,36,6,3,3,8,39,4,1,8,3,1,75,69,144,6,75,4.16666666666667,52.0833333333333,47.9166666666667,52.0833333333333
"46","16","4",1,1,3,1,4,42,4,2,1,3,43,5,0,6,2,4,59,66,125,5,85,4,68,52.8,47.2
"47","16","5",6,6,7,9,6,22,7,10,6,10,20,9,10,7,10,5,74,79,153,11,42,7.18954248366013,27.4509803921569,51.6339869281046,48.3660130718954
"48","16","6",8,7,8,6,6,13,13,5,6,7,12,12,7,11,5,12,68,73,141,20,25,14.1843971631206,17.7304964539007,51.7730496453901,48.2269503546099
"49","17","1",73,14,13,4,14,8,3,2,15,3,9,0,4,1,2,0,134,34,168,73,17,43.4523809523809,10.1190476190476,20.2380952380952,79.7619047619048
"50","17","2",35,10,11,1,8,18,7,0,9,2,16,6,3,4,0,0,92,41,133,35,34,26.3157894736842,25.5639097744361,30.8270676691729,69.1729323308271
"51","17","3",2,3,6,3,7,86,8,0,3,6,87,5,2,6,0,0,116,111,227,2,173,0.881057268722467,76.2114537444934,48.8986784140969,51.1013215859031
"52","17","4",2,1,4,2,2,67,27,1,2,5,64,26,5,23,1,0,109,126,235,2,131,0.851063829787234,55.7446808510638,53.6170212765957,46.3829787234043
"53","17","5",29,7,5,2,5,0,1,1,7,0,0,0,1,0,1,0,51,11,62,29,0,46.7741935483871,0,17.741935483871,82.258064516129
"54","17","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"55","18","1",12,11,17,8,14,18,9,6,11,14,15,7,11,4,6,10,96,80,176,22,33,12.5,18.75,45.4545454545455,54.5454545454545
"56","18","2",4,4,11,2,11,100,3,1,4,9,100,2,2,2,1,0,138,121,259,4,200,1.54440154440154,77.2200772200772,46.7181467181467,53.2818532818533
"57","18","3",3,3,6,3,8,93,7,0,3,6,95,5,1,6,0,0,124,118,242,3,188,1.2396694214876,77.6859504132231,48.7603305785124,51.2396694214876
"58","18","4",8,6,7,7,9,21,7,5,6,8,24,5,5,7,5,1,72,62,134,9,45,6.71641791044776,33.5820895522388,46.2686567164179,53.7313432835821
"59","18","5",15,7,7,4,7,6,8,3,7,4,7,6,4,7,3,7,59,46,105,22,13,20.952380952381,12.3809523809524,43.8095238095238,56.1904761904762
"60","18","6",14,8,9,5,10,18,4,4,8,6,20,3,3,5,4,1,74,51,125,15,38,12,30.4,40.8,59.2
"61","19","1",0,0,1,0,0,3,3,3,0,1,2,6,1,6,4,9,11,31,42,9,5,21.4285714285714,11.9047619047619,73.8095238095238,26.1904761904762
"62","19","2",0,1,2,0,1,3,1,1,1,2,2,2,2,1,2,3,11,16,27,3,5,11.1111111111111,18.5185185185185,59.2592592592593,40.7407407407407
"63","19","3",1,2,2,1,4,2,1,0,3,1,4,0,0,1,0,0,16,9,25,1,6,4,24,36,64
"64","19","4",1,1,1,3,2,0,1,2,1,3,1,0,1,1,2,2,12,13,25,3,1,12,4,52,48
"65","19","5",2,2,2,1,3,0,1,0,2,1,1,0,0,1,0,0,13,6,19,2,1,10.5263157894737,5.26315789473684,31.5789473684211,68.4210526315789
"66","19","6",0,4,1,3,1,2,3,2,4,0,2,1,3,1,2,0,17,15,32,0,4,0,12.5,46.875,53.125
"67","2","1",60,10,10,2,10,3,3,0,10,1,3,1,2,1,0,0,100,19,119,60,6,50.4201680672269,5.04201680672269,15.9663865546218,84.0336134453782
"68","2","2",23,7,7,1,8,14,5,0,8,1,15,4,1,4,0,0,68,33,101,23,29,22.7722772277228,28.7128712871287,32.6732673267327,67.3267326732673
"69","2","3",29,5,6,0,6,0,0,0,5,1,0,0,0,0,0,0,49,6,55,29,0,52.7272727272727,0,10.9090909090909,89.0909090909091
"70","2","4",21,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,27,1,28,21,0,75,0,3.57142857142857,96.4285714285714
"71","2","5",21,2,2,0,3,0,0,0,3,0,1,0,0,0,0,0,31,4,35,21,1,60,2.85714285714286,11.4285714285714,88.5714285714286
"72","2","6",49,11,11,2,10,7,4,0,10,2,6,2,3,1,0,0,96,25,121,49,13,40.495867768595,10.7438016528926,20.6611570247934,79.3388429752066
"73","20","1",55,10,11,2,10,5,5,0,10,3,4,3,3,2,0,0,101,25,126,55,9,43.6507936507937,7.14285714285714,19.8412698412698,80.1587301587302
"74","20","2",45,12,11,4,10,6,5,2,11,3,5,3,4,2,2,1,96,33,129,46,11,35.6589147286822,8.52713178294574,25.5813953488372,74.4186046511628
"75","20","3",63,9,10,4,10,5,7,1,10,5,4,4,5,3,1,1,112,33,145,64,9,44.1379310344828,6.20689655172414,22.7586206896552,77.2413793103448
"76","20","4",27,10,10,6,8,18,9,1,11,6,16,4,9,2,1,2,92,51,143,29,34,20.2797202797203,23.7762237762238,35.6643356643357,64.3356643356643
"77","20","5",32,9,12,1,13,9,1,0,10,4,10,0,1,0,0,0,80,25,105,32,19,30.4761904761905,18.0952380952381,23.8095238095238,76.1904761904762
"78","20","6",62,9,8,4,10,4,3,1,9,3,6,0,3,2,2,1,103,27,130,63,10,48.4615384615385,7.69230769230769,20.7692307692308,79.2307692307692
"79","21","1",25,9,4,7,4,5,9,5,10,2,5,7,8,7,5,4,71,48,119,29,10,24.3697478991597,8.40336134453782,40.3361344537815,59.6638655462185
"80","21","2",14,7,6,4,7,12,8,5,7,3,13,9,3,10,5,1,66,51,117,15,25,12.8205128205128,21.3675213675214,43.5897435897436,56.4102564102564
"81","21","3",44,11,11,2,10,5,2,1,11,1,4,1,2,1,1,0,87,23,110,44,9,40,8.18181818181818,20.9090909090909,79.0909090909091
"82","21","4",24,8,7,4,7,2,3,5,9,3,2,4,5,4,5,4,63,36,99,28,4,28.2828282828283,4.04040404040404,36.3636363636364,63.6363636363636
"83","21","5",45,4,4,0,4,2,0,0,4,0,2,0,0,0,0,0,62,6,68,45,4,66.1764705882353,5.88235294117647,8.82352941176471,91.1764705882353
"84","21","6",61,4,4,0,4,0,0,0,4,0,0,0,0,0,0,0,76,4,80,61,0,76.25,0,5,95
"85","22","1",1,4,6,3,4,26,8,5,4,5,24,9,5,8,5,1,58,63,121,2,50,1.65289256198347,41.3223140495868,52.0661157024793,47.9338842975207
"86","22","2",1,2,5,1,2,59,11,1,2,4,56,11,4,8,1,2,83,90,173,3,115,1.73410404624277,66.4739884393064,52.0231213872832,47.9768786127168
"87","22","3",1,2,3,1,3,53,10,1,2,2,53,10,1,10,1,2,75,83,158,3,106,1.89873417721519,67.0886075949367,52.5316455696203,47.4683544303797
"88","22","4",2,2,4,1,3,44,12,2,2,3,42,13,2,12,2,1,71,79,150,3,86,2,57.3333333333333,52.6666666666667,47.3333333333333
"89","22","5",1,1,6,3,4,25,11,1,1,9,23,9,5,7,1,0,54,56,110,1,48,0.909090909090909,43.6363636363636,50.9090909090909,49.0909090909091
"90","22","6",0,1,2,0,2,37,1,4,1,1,37,5,0,5,4,2,48,57,105,2,74,1.9047619047619,70.4761904761905,54.2857142857143,45.7142857142857
"91","23","1",4,4,6,3,7,40,8,3,4,4,42,8,1,10,3,0,77,73,150,4,82,2.66666666666667,54.6666666666667,48.6666666666667,51.3333333333333
"92","23","2",2,2,4,2,4,47,2,2,2,4,47,2,3,1,2,3,67,65,132,5,94,3.78787878787879,71.2121212121212,49.2424242424242,50.7575757575758
"93","23","3",37,10,10,5,10,6,8,1,10,5,6,4,6,3,1,0,89,36,125,37,12,29.6,9.6,28.8,71.2
"94","23","4",15,9,16,4,14,23,5,1,9,10,22,2,5,1,1,2,89,53,142,17,45,11.9718309859155,31.6901408450704,37.3239436619718,62.6760563380282
"95","23","5",34,12,10,3,13,14,3,2,12,1,17,2,0,5,2,3,93,43,136,37,31,27.2058823529412,22.7941176470588,31.6176470588235,68.3823529411765
"96","23","6",69,9,8,2,9,4,3,0,9,1,5,1,1,2,0,0,107,19,126,69,9,54.7619047619048,7.14285714285714,15.0793650793651,84.9206349206349
"97","24","1",16,13,16,8,15,12,6,11,13,10,11,9,8,8,11,9,98,81,179,25,23,13.9664804469274,12.8491620111732,45.2513966480447,54.7486033519553
"98","24","2",17,8,10,7,12,17,10,6,9,9,19,8,6,10,6,3,90,70,160,20,36,12.5,22.5,43.75,56.25
"99","24","3",7,4,5,6,8,9,8,7,4,7,11,9,3,12,7,8,55,63,118,15,20,12.7118644067797,16.9491525423729,53.3898305084746,46.6101694915254
"100","24","4",2,5,5,5,6,15,8,4,5,5,16,7,5,7,4,1,52,51,103,3,31,2.9126213592233,30.0970873786408,49.5145631067961,50.4854368932039
"101","24","5",2,2,4,2,0,7,4,10,2,4,3,12,6,8,10,11,32,58,90,13,10,14.4444444444444,11.1111111111111,64.4444444444444,35.5555555555556
"102","24","6",0,3,3,1,0,6,5,2,3,1,3,6,4,3,2,4,21,28,49,4,9,8.16326530612245,18.3673469387755,57.1428571428571,42.8571428571429
"103","25","1",0,1,11,15,11,17,9,20,1,25,17,14,16,13,20,33,86,140,226,33,34,14.6017699115044,15.0442477876106,61.9469026548673,38.0530973451327
"104","25","2",1,2,1,5,1,3,4,18,2,4,3,17,5,16,17,47,35,114,149,48,6,32.2147651006711,4.02684563758389,76.510067114094,23.489932885906
"105","25","3",2,2,1,5,1,9,5,13,2,5,9,13,6,12,13,21,40,82,122,23,18,18.8524590163934,14.7540983606557,67.2131147540984,32.7868852459016
"106","25","4",1,2,5,5,6,4,4,7,2,8,6,5,4,7,7,7,36,47,83,8,10,9.63855421686747,12.0481927710843,56.6265060240964,43.3734939759036
"107","25","5",3,2,2,0,0,5,2,2,3,0,3,4,2,2,2,10,19,26,45,13,8,28.8888888888889,17.7777777777778,57.7777777777778,42.2222222222222
"108","25","6",0,0,1,3,1,2,5,5,0,4,2,8,3,8,6,10,18,43,61,10,4,16.3934426229508,6.55737704918033,70.4918032786885,29.5081967213115
"109","26","1",1,3,1,7,2,2,2,9,3,5,4,4,6,6,10,26,29,65,94,27,6,28.7234042553191,6.38297872340426,69.1489361702128,30.8510638297872
"110","26","2",0,0,0,2,0,3,1,7,0,2,3,6,2,6,6,17,13,45,58,17,6,29.3103448275862,10.3448275862069,77.5862068965517,22.4137931034483
"111","26","3",7,3,1,4,2,0,0,6,3,2,0,2,4,2,6,9,25,29,54,16,0,29.6296296296296,0,53.7037037037037,46.2962962962963
"112","26","4",1,2,1,2,1,6,3,5,2,1,6,6,2,5,5,9,22,38,60,10,12,16.6666666666667,20,63.3333333333333,36.6666666666667
"113","26","5",0,2,4,1,3,3,2,2,2,3,2,3,3,2,3,4,19,23,42,4,5,9.52380952380952,11.9047619047619,54.7619047619048,45.2380952380952
"114","26","6",0,0,2,2,3,1,3,0,0,4,2,1,1,3,1,5,12,19,31,5,3,16.1290322580645,9.67741935483871,61.2903225806452,38.7096774193548
"115","27","1",16,10,8,4,10,10,5,1,11,2,12,2,3,4,2,1,67,37,104,17,22,16.3461538461538,21.1538461538462,35.5769230769231,64.4230769230769
"116","27","2",78,13,13,3,12,5,3,1,13,3,4,1,4,0,1,0,131,26,157,78,9,49.6815286624204,5.73248407643312,16.5605095541401,83.4394904458599
"117","27","3",12,2,2,3,1,1,4,0,2,3,0,1,4,0,0,0,28,10,38,12,1,31.5789473684211,2.63157894736842,26.3157894736842,73.6842105263158
"118","27","4",5,6,4,3,3,4,1,3,6,1,2,1,4,0,3,2,30,21,51,7,6,13.7254901960784,11.7647058823529,41.1764705882353,58.8235294117647
"119","27","5",2,3,7,2,6,5,6,0,3,7,4,3,4,2,0,0,33,24,57,2,9,3.50877192982456,15.7894736842105,42.1052631578947,57.8947368421053
"120","27","6",66,4,4,1,5,3,1,0,5,1,3,0,1,0,0,0,87,10,97,66,6,68.0412371134021,6.18556701030928,10.3092783505155,89.6907216494845
"121","28","1",3,4,17,1,14,25,5,3,4,15,22,7,5,4,3,2,74,63,137,5,47,3.64963503649635,34.3065693430657,45.985401459854,54.014598540146
"122","28","2",6,6,17,2,18,20,6,1,6,14,20,5,2,5,1,0,78,54,132,6,40,4.54545454545455,30.3030303030303,40.9090909090909,59.0909090909091
"123","28","3",0,0,7,1,5,27,7,3,0,9,25,9,4,6,3,3,52,60,112,3,52,2.67857142857143,46.4285714285714,53.5714285714286,46.4285714285714
"124","28","4",8,6,11,8,11,27,11,2,5,14,27,5,8,5,2,2,86,69,155,10,54,6.45161290322581,34.8387096774194,44.5161290322581,55.4838709677419
"125","28","5",0,0,5,4,2,19,12,1,0,9,16,9,6,6,0,0,43,49,92,0,35,0,38.0434782608696,53.2608695652174,46.7391304347826
"126","28","6",1,3,7,5,9,19,8,1,3,9,21,4,2,7,1,3,54,52,106,4,40,3.77358490566038,37.7358490566038,49.0566037735849,50.9433962264151
"127","29","1",28,11,14,8,13,27,13,3,10,11,26,9,8,8,3,5,118,82,200,33,53,16.5,26.5,41,59
"128","29","2",7,8,17,7,15,22,8,5,8,16,19,7,9,4,5,4,90,74,164,11,41,6.70731707317073,25,45.1219512195122,54.8780487804878
"129","29","3",5,6,11,8,8,14,12,11,6,13,12,15,11,13,11,3,77,85,162,8,26,4.93827160493827,16.0493827160494,52.4691358024691,47.5308641975309
"130","29","4",2,5,9,4,9,37,7,2,5,9,37,5,5,4,2,0,77,68,145,2,74,1.37931034482759,51.0344827586207,46.8965517241379,53.1034482758621
"131","29","5",19,5,6,5,10,19,6,4,6,6,22,5,2,8,4,7,77,60,137,26,41,18.978102189781,29.9270072992701,43.7956204379562,56.2043795620438
"132","29","6",14,12,10,11,8,14,12,8,12,10,12,9,14,7,8,12,91,85,176,26,26,14.7727272727273,14.7727272727273,48.2954545454545,51.7045454545455
"133","3","1",6,6,6,5,5,20,7,2,6,5,19,5,6,4,2,1,58,50,108,7,39,6.48148148148148,36.1111111111111,46.2962962962963,53.7037037037037
"134","3","2",3,6,8,5,9,15,5,4,7,7,15,4,5,4,4,7,58,53,111,10,30,9.00900900900901,27.027027027027,47.7477477477477,52.2522522522523
"135","3","3",3,7,3,6,6,2,5,5,8,2,5,4,4,7,6,6,40,42,82,9,7,10.9756097560976,8.53658536585366,51.219512195122,48.780487804878
"136","3","4",1,4,2,4,2,0,2,5,4,2,0,2,4,2,5,2,21,23,44,3,0,6.81818181818182,0,52.2727272727273,47.7272727272727
"137","3","5",2,2,6,3,3,6,7,0,2,7,3,4,6,2,0,0,30,26,56,2,9,3.57142857142857,16.0714285714286,46.4285714285714,53.5714285714286
"138","3","6",4,2,2,2,2,0,2,0,3,2,0,0,2,0,0,0,17,7,24,4,0,16.6666666666667,0,29.1666666666667,70.8333333333333
"139","30","1",8,9,10,6,10,10,7,6,9,7,11,7,6,7,6,5,68,59,127,13,21,10.2362204724409,16.5354330708661,46.4566929133858,53.5433070866142
"140","30","2",10,8,7,6,4,12,10,3,8,5,9,7,9,5,4,6,61,55,116,16,21,13.7931034482759,18.1034482758621,47.4137931034483,52.5862068965517
"141","30","3",3,7,8,2,5,10,5,3,7,3,7,5,5,3,3,3,44,38,82,6,17,7.31707317073171,20.7317073170732,46.3414634146341,53.6585365853659
"142","30","4",2,3,4,4,1,11,4,5,3,5,9,5,6,3,5,14,36,51,87,16,20,18.3908045977011,22.9885057471264,58.6206896551724,41.3793103448276
"143","30","5",1,1,3,4,4,7,2,4,1,6,8,2,3,2,3,6,26,34,60,7,15,11.6666666666667,25,56.6666666666667,43.3333333333333
"144","30","6",0,0,2,3,1,5,5,5,0,5,4,7,3,7,5,11,22,44,66,11,9,16.6666666666667,13.6363636363636,66.6666666666667,33.3333333333333
"145","31","1",10,12,9,19,11,17,13,24,12,16,18,18,17,20,24,27,116,154,270,37,35,13.7037037037037,12.962962962963,57.037037037037,42.962962962963
"146","31","2",0,4,8,12,8,13,11,23,4,16,13,21,12,21,22,41,79,153,232,41,26,17.6724137931034,11.2068965517241,65.948275862069,34.051724137931
"147","31","3",0,4,4,9,5,11,10,16,4,10,12,17,9,18,17,38,61,126,187,38,23,20.3208556149733,12.2994652406417,67.379679144385,32.620320855615
"148","31","4",0,2,3,4,1,7,7,11,2,5,5,15,6,13,11,40,36,99,135,40,12,29.6296296296296,8.88888888888889,73.3333333333333,26.6666666666667
"149","31","5",0,1,1,4,1,6,4,10,1,4,6,9,4,9,9,24,27,69,96,24,12,25,12.5,71.875,28.125
"150","31","6",0,2,0,8,1,0,4,9,2,6,1,5,7,7,10,37,25,77,102,37,1,36.2745098039216,0.980392156862745,75.4901960784314,24.5098039215686
"151","32","1",1,4,6,8,8,9,3,13,4,10,11,8,6,10,13,57,52,122,174,58,20,33.3333333333333,11.4942528735632,70.1149425287356,29.8850574712644
"152","32","2",0,0,0,3,0,2,2,12,0,3,2,11,3,11,12,79,19,124,143,79,4,55.2447552447552,2.7972027972028,86.7132867132867,13.2867132867133
"153","32","3",6,1,2,3,0,4,2,12,1,4,2,12,5,10,13,38,31,87,118,44,6,37.2881355932203,5.08474576271186,73.728813559322,26.271186440678
"154","32","4",1,1,0,2,0,3,4,7,1,1,3,10,2,10,7,38,19,74,93,39,6,41.9354838709677,6.45161290322581,79.5698924731183,20.4301075268817
"155","32","5",0,0,1,2,2,1,1,7,0,3,2,6,1,8,7,38,15,67,82,38,3,46.3414634146341,3.65853658536585,81.7073170731707,18.2926829268293
"156","32","6",0,0,0,2,0,2,0,7,0,2,2,5,2,5,7,29,11,55,66,29,4,43.9393939393939,6.06060606060606,83.3333333333333,16.6666666666667
"157","33","1",4,4,6,10,6,11,10,11,5,12,11,10,11,10,11,11,65,81,146,15,22,10.2739726027397,15.0684931506849,55.4794520547945,44.5205479452055
"158","33","2",0,0,2,1,1,6,6,5,0,3,5,10,1,9,4,3,21,38,59,3,11,5.08474576271186,18.6440677966102,64.406779661017,35.5932203389831
"159","33","3",0,1,1,4,3,6,3,7,1,4,8,5,2,8,7,22,26,59,85,22,14,25.8823529411765,16.4705882352941,69.4117647058823,30.5882352941176
"160","33","4",0,0,4,1,4,9,5,4,0,5,9,8,1,8,4,7,29,43,72,7,18,9.72222222222222,25,59.7222222222222,40.2777777777778
"161","33","5",1,2,3,4,5,7,1,7,2,5,9,4,2,5,6,15,30,51,81,16,16,19.7530864197531,19.7530864197531,62.962962962963,37.037037037037
"162","33","6",2,3,2,3,2,3,0,5,2,2,3,2,2,2,5,2,21,22,43,4,6,9.30232558139535,13.953488372093,51.1627906976744,48.8372093023256
"163","34","1",19,10,12,9,14,6,6,9,11,11,8,6,7,8,9,12,88,72,160,31,14,19.375,8.75,45,55
"164","34","2",5,6,12,7,13,15,9,5,6,13,16,7,7,7,5,2,74,64,138,7,31,5.07246376811594,22.463768115942,46.3768115942029,53.6231884057971
"165","34","3",18,11,8,7,9,10,6,6,11,4,10,6,6,6,6,2,76,53,129,20,20,15.5038759689922,15.5038759689922,41.0852713178295,58.9147286821705
"166","34","4",45,11,8,7,6,4,7,2,10,4,3,2,8,1,2,0,92,31,123,45,7,36.5853658536585,5.69105691056911,25.2032520325203,74.7967479674797
"167","34","5",41,11,7,7,9,2,6,2,12,3,3,1,6,2,2,1,88,30,118,42,5,35.5932203389831,4.23728813559322,25.4237288135593,74.5762711864407
